timestamp,bridge,entries_count,mac,port,vlan,age,note
2026-08-30T21:51:26,B1,3,da:0d:f9:2d:8c:29,2,0,0,
2026-08-30T21:51:26,B1,3,aa:aa:aa:11:11:11,1,0,0,
2026-08-30T21:51:26,B1,3,aa:aa:aa:22:22:22,2,0,0,
2026-08-30T21:51:26,B2,3,da:0d:f9:2d:8c:29,3,0,0,
2026-08-30T21:51:26,B2,3,aa:aa:aa:11:11:11,2,0,0,
2026-08-30T21:51:26,B2,3,aa:aa:aa:22:22:22,1,0,0,
2026-08-30T21:51:26,B3,1,aa:aa:aa:11:11:11,3,0,0,
2026-08-30T21:51:28,B1,3,da:0d:f9:2d:8c:29,2,0,1,
2026-08-30T21:51:28,B1,3,aa:aa:aa:11:11:11,1,0,1,
2026-08-30T21:51:28,B1,3,aa:aa:aa:22:22:22,2,0,1,
2026-08-30T21:51:28,B2,3,da:0d:f9:2d:8c:29,3,0,1,
2026-08-30T21:51:28,B2,3,aa:aa:aa:11:11:11,2,0,1,
2026-08-30T21:51:28,B2,3,aa:aa:aa:22:22:22,1,0,1,
2026-08-30T21:51:28,B3,1,aa:aa:aa:11:11:11,3,0,1,
2026-08-30T21:51:29,B1,3,da:0d:f9:2d:8c:29,2,0,2,
2026-08-30T21:51:29,B1,3,aa:aa:aa:11:11:11,1,0,2,
2026-08-30T21:51:29,B1,3,aa:aa:aa:22:22:22,2,0,2,
2026-08-30T21:51:29,B2,3,da:0d:f9:2d:8c:29,3,0,2,
2026-08-30T21:51:29,B2,3,aa:aa:aa:11:11:11,2,0,2,
2026-08-30T21:51:29,B2,3,aa:aa:aa:22:22:22,1,0,2,
2026-08-30T21:51:29,B3,1,aa:aa:aa:11:11:11,3,0,2,
2026-08-30T21:51:30,B1,3,da:0d:f9:2d:8c:29,2,0,3,
2026-08-30T21:51:30,B1,3,aa:aa:aa:11:11:11,1,0,3,
2026-08-30T21:51:30,B1,3,aa:aa:aa:22:22:22,2,0,3,
2026-08-30T21:51:30,B2,3,da:0d:f9:2d:8c:29,3,0,3,
2026-08-30T21:51:30,B2,3,aa:aa:aa:11:11:11,2,0,3,
2026-08-30T21:51:30,B2,3,aa:aa:aa:22:22:22,1,0,3,
2026-08-30T21:51:30,B3,1,aa:aa:aa:11:11:11,3,0,3,
2026-08-30T21:51:31,B1,3,da:0d:f9:2d:8c:29,2,0,4,
2026-08-30T21:51:31,B1,3,aa:aa:aa:11:11:11,1,0,4,
2026-08-30T21:51:31,B1,3,aa:aa:aa:22:22:22,2,0,4,
2026-08-30T21:51:31,B2,3,da:0d:f9:2d:8c:29,3,0,4,
2026-08-30T21:51:31,B2,3,aa:aa:aa:11:11:11,2,0,4,
2026-08-30T21:51:31,B2,3,aa:aa:aa:22:22:22,1,0,4,
2026-08-30T21:51:31,B3,1,aa:aa:aa:11:11:11,3,0,4,
